URL,ISIN,Company + Kupon and Maturity,Company,Kupon_Maturity,Coupon,Maturity_Start,Maturity_End,is_green
https://www.boerse-frankfurt.de/anleihe/xs2694874533-volkswagen-leasing-gmbh-4-75-23-31,xs2694874533,#NAME?,volkswagen-leasing-gmbh,4-75-23-31,4.75,23,31,1
https://www.boerse-frankfurt.de/anleihe/xs2482887879-rwe-ag-2-75-22-30,xs2482887879,#NAME?,rwe-ag,2-75-22-30,2.75,22,30,1
https://www.boerse-frankfurt.de/anleihe/de000a3lh6t7-mercedes-benz-international-finance-b-v-3-5-23-26,de000a3lh6t7,#NAME?,mercedes-benz-international-finance-b-v,3-5-23-26,3.5,23,26,1
https://www.boerse-frankfurt.de/anleihe/xs2694872594-volkswagen-leasing-gmbh-4-625-23-29,xs2694872594,#NAME?,volkswagen-leasing-gmbh,4-625-23-29,4.625,23,29,1
https://www.boerse-frankfurt.de/anleihe/xs2482936247-rwe-ag-2-125-22-26,xs2482936247,#NAME?,rwe-ag,2-125-22-26,2.125,22,26,1
https://www.boerse-frankfurt.de/anleihe/xs2181689659-ungarn-republik-1-75-20-35,xs2181689659,#NAME?,ungarn-republik,1-75-20-35,1.75,20,35,1
https://www.boerse-frankfurt.de/anleihe/xs2584685387-rwe-ag-4-125-23-35,xs2584685387,#NAME?,rwe-ag,4-125-23-35,4.125,23,35,1
https://www.boerse-frankfurt.de/anleihe/xs2673536541-e-on-se-3-75-23-29,xs2673536541,#NAME?,e-on-se,3-75-23-29,3.75,23,29,1
https://www.boerse-frankfurt.de/anleihe/be6332786449-vgp-n-v-1-625-22-27,be6332786449,#NAME?,vgp-n-v,1-625-22-27,1.625,22,27,1
https://www.boerse-frankfurt.de/anleihe/ca45950kde79-international-finance-corp-4-5-23-26,ca45950kde79,#NAME?,international-finance-corp,4-5-23-26,4.5,23,26,1
https://www.boerse-frankfurt.de/anleihe/de000a289dc9-basf-se-0-25-20-27,de000a289dc9,#NAME?,basf-se,0-25-20-27,0.25,20,27,1
https://www.boerse-frankfurt.de/anleihe/de000a3h25p4-deutsche-wohnen-se-0-5-21-31,de000a3h25p4,#NAME?,deutsche-wohnen-se,0-5-21-31,0.5,21,31,1
https://www.boerse-frankfurt.de/anleihe/de000a3h25q2-deutsche-wohnen-se-1-3-21-41,de000a3h25q2,#NAME?,deutsche-wohnen-se,1-3-21-41,1.3,21,41,1
https://www.boerse-frankfurt.de/anleihe/de000a3mqs72-vonovia-se-2-375-22-32,de000a3mqs72,#NAME?,vonovia-se,2-375-22-32,2.375,22,32,1
https://www.boerse-frankfurt.de/anleihe/de000cb0hrq9-commerzbank-ag-0-75-20-26,de000cb0hrq9,#NAME?,commerzbank-ag,0-75-20-26,0.75,20,26,1
https://www.boerse-frankfurt.de/anleihe/de000cz45w57-commerzbank-ag-3-22-27,de000cz45w57,#NAME?,commerzbank-ag,3-22-27,3,22,27,1
https://www.boerse-frankfurt.de/anleihe/de000lb2v7c3-landesbank-baden-wuerttemberg-0-25-21-28,de000lb2v7c3,#NAME?,landesbank-baden-wuerttemberg,0-25-21-28,0.25,21,28,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0aj5-nrw-bank-0-000-20-30,de000nwb0aj5,#NAME?,nrw-bank,0-000-20-30,0,20,30,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0al1-nrw-bank-0-000-21-31,de000nwb0al1,#NAME?,nrw-bank,0-000-21-31,0,21,31,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0an7-nrw-bank-0-000-21-31,de000nwb0an7,#NAME?,nrw-bank,0-000-21-31,0,21,31,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0aq0-nrw-bank-0-25-22-32,de000nwb0aq0,#NAME?,nrw-bank,0-25-22-32,0.25,22,32,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0ar8-nrw-bank-1-625-22-32,de000nwb0ar8,#NAME?,nrw-bank,1-625-22-32,1.625,22,32,1
https://www.boerse-frankfurt.de/anleihe/de000nwb0au2-nrw-bank-3-23-30,de000nwb0au2,#NAME?,nrw-bank,3-23-30,3,23,30,1
https://www.boerse-frankfurt.de/anleihe/fr0014003n69-air-liquide-finance-s-a-0-375-21-31,fr0014003n69,#NAME?,air-liquide-finance-s-a,0-375-21-31,0.375,21,31,1
https://www.boerse-frankfurt.de/anleihe/no0012837030-scatec-asa-11-29-23-27,no0012837030,#NAME?,scatec-asa,11-29-23-27,11.29,23,27,1
https://www.boerse-frankfurt.de/anleihe/xs2171713006-eurogrid-gmbh-1-113-20-32,xs2171713006,#NAME?,eurogrid-gmbh,1-113-20-32,1.113,20,32,1
https://www.boerse-frankfurt.de/anleihe/xs2233120554-landwirtschaftliche-rentenbank-0-000-20-27,xs2233120554,#NAME?,landwirtschaftliche-rentenbank,0-000-20-27,0,20,27,1
https://www.boerse-frankfurt.de/anleihe/xs2250026734-instituto-de-credito-oficial-0-000-20-26,xs2250026734,#NAME?,instituto-de-credito-oficial,0-000-20-26,0,20,26,1
https://www.boerse-frankfurt.de/anleihe/xs2265360359-stora-enso-oyj-0-625-20-30,xs2265360359,#NAME?,stora-enso-oyj,0-625-20-30,0.625,20,30,1
https://www.boerse-frankfurt.de/anleihe/xs2314312179-axa-s-a-1-375-21-41,xs2314312179,#NAME?,axa-s-a,1-375-21-41,1.375,21,41,1
https://www.boerse-frankfurt.de/anleihe/xs2314657409-prologis-international-funding-ii-s-a-0-75-21-33,xs2314657409,#NAME?,prologis-international-funding-ii-s-a,0-75-21-33,0.75,21,33,1
